com.samsung.health.exercise
time_offset,max_rpm,live_data,mean_rpm,distance,max_caloricburn_rate,additional,altitude_gain,deviceuuid,duration,update_time,datauuid,location_data,decline_distance,altitude_loss,mean_caloricburn_rate,incline_distance,max_altitude,max_cadence,create_time,mean_speed,mean_heart_rate,count_type,custom,end_time,count,min_altitude,max_speed,exercise_type,pkg_name,start_time,max_power,mean_power,min_heart_rate,calorie,comment,max_heart_rate,exercise_custom_type,mean_cadence
-14400000,,live_data.72.blob,,1172.48,,,,HhGX3b5ODm,822600,2017-06-30 19:33:01.861,144dced0-cbb2-4b37-8f95-6daf214e3537,,,,,,,,2017-06-30 19:33:01.861,1.4253343,,,,2017-06-30 19:28:01.000,,,1.6388888,1001,com.sec.android.app.shealth,2017-06-30 19:14:19.000,,,,73.77,,,,
-14400000,,live_data.73.blob,,1237.27,,,,HhGX3b5ODm,893313,2017-06-30 23:17:31.487,a3c106d2-5397-4dfb-bfec-57318276d612,,,,,,,,2017-06-30 23:17:31.487,1.3850353,,,,2017-06-30 23:15:05.000,,,1.5555556,1001,com.sec.android.app.shealth,2017-06-30 23:00:12.000,,,,77.93,,,,
-14400000,,live_data.74.blob,,2094.46,,,,HhGX3b5ODm,1503350,2017-07-01 13:55:01.302,3e9d8dee-afbe-48b5-b436-ce410990b45a,,,,,,,,2017-07-01 13:55:01.302,1.3931952,,,,2017-07-01 13:50:08.000,,,1.8611112,1001,com.sec.android.app.shealth,2017-07-01 13:25:05.000,,,,131.31,,,,
-14400000,,live_data.75.blob,,2033.85,,,,HhGX3b5ODm,1501213,2017-07-01 16:51:49.204,64e5adfa-c310-4e71-8265-1c6997452687,,,,,,,,2017-07-01 16:51:49.204,1.3548044,,,,2017-07-01 16:50:04.000,,,1.6666666,1001,com.sec.android.app.shealth,2017-07-01 16:25:03.000,,,,127.57,,,,
-14400000,,live_data.76.blob,,2053.23,,,,HhGX3b5ODm,1450748,2017-07-01 18:43:05.212,be672c9d-6238-4c06-9623-d903053954be,,,,,,,,2017-07-01 18:43:05.212,1.4152905,,,,2017-07-01 18:28:36.000,,,1.7222222,1001,com.sec.android.app.shealth,2017-07-01 18:04:26.000,,,,128.36,,,,
-14400000,,live_data.77.blob,,2172.8,,,,HhGX3b5ODm,1581362,2017-07-01 20:15:01.334,9697b708-6a21-48af-bfc8-a6f2947a435b,,,,,,,,2017-07-01 20:15:01.334,1.3740056,,,,2017-07-01 19:58:21.000,,,1.75,1001,com.sec.android.app.shealth,2017-07-01 19:32:00.000,,,,136.37,,,,
-14400000,,live_data.78.blob,,987.3,,,,HhGX3b5ODm,651969,2017-07-02 21:35:00.950,3b92216f-9c1b-4694-b279-348290d91c62,,,,,,,,2017-07-02 21:35:00.950,1.514336,,,,2017-07-02 21:33:27.000,,,1.75,1001,com.sec.android.app.shealth,2017-07-02 21:22:36.000,,,,61.85,,,,
-14400000,,live_data.79.blob,,1159.78,,,,HhGX3b5ODm,804939,2017-07-05 15:07:28.957,3ca79da3-8559-408d-b093-570a210e97b5,,,,,,,,2017-07-05 15:07:28.957,1.4408296,,,,2017-07-05 15:04:30.000,,,2.0218265,1001,com.sec.android.app.shealth,2017-07-05 14:51:06.000,,,,73.61,,,,
-14400000,,live_data.80.blob,,2249.71,,,,HhGX3b5ODm,1577018,2017-08-08 10:15:00.514,4ef331bd-4831-4a43-b671-4af512ad799f,,,,,,,,2017-08-08 10:15:00.514,1.4265596,,,,2017-08-08 10:00:40.000,,,1.7222222,1001,com.sec.android.app.shealth,2017-08-08 09:34:23.000,,,,139.99,,,,
-14400000,,live_data.81.blob,,918.22,,,,HhGX3b5ODm,664804,2017-08-08 14:54:36.617,cca62831-ad08-4f46-ac06-4ec3214da935,,,,,,,,2017-08-08 14:54:36.617,1.381189,,,,2017-08-08 14:53:05.000,,,1.7777778,1001,com.sec.android.app.shealth,2017-08-08 14:42:01.000,,,,61.05,,,,
-14400000,,live_data.82.blob,,2086.27,,,,HhGX3b5ODm,1578746,2017-08-18 17:48:28.433,0838efce-44f1-42a3-8938-8fb8d9661704,,,,,,,,2017-08-18 17:48:28.433,1.3214729,,,,2017-08-18 17:47:18.000,,,2.3333333,1001,com.sec.android.app.shealth,2017-08-18 17:21:00.000,,,,132.41,,,,
-14400000,,live_data.83.blob,,2258.39,,,,HhGX3b5ODm,1677137,2017-08-22 10:14:19.769,b08af161-36eb-4767-8d13-73b0dda1f3f4,,,,,,,,2017-08-22 10:14:19.769,1.3465744,,,,2017-08-22 10:06:20.000,,,1.5833334,1001,com.sec.android.app.shealth,2017-08-22 09:38:23.000,,,,144.8,,,,
